day,month,name,time,wind,year
11,9,UNNAMED,23:00,75,1903
13,9,UNNAMED,23:00,80,1903
17,10,UNNAMED,08:00,70,1904
17,6,UNNAMED,03:00,70,1906
17,6,UNNAMED,08:00,75,1906
18,10,UNNAMED,10:00,105,1906
18,10,UNNAMED,12:00,105,1906
11,10,UNNAMED,18:00,100,1909
18,10,UNNAMED,06:00,95,1910
11,8,UNNAMED,22:00,70,1911
1,8,UNNAMED,18:00,65,1915
4,9,UNNAMED,11:00,80,1915
18,10,UNNAMED,14:00,95,1916
29,9,UNNAMED,02:00,100,1917
10,9,UNNAMED,07:00,130,1919
25,10,UNNAMED,20:00,100,1921
15,9,UNNAMED,14:00,75,1924
21,10,UNNAMED,01:00,80,1924
28,7,UNNAMED,10:00,90,1926
18,9,UNNAMED,12:00,125,1926
20,9,UNNAMED,22:00,100,1926
8,8,UNNAMED,07:00,85,1928
28,9,UNNAMED,13:00,100,1929
1,10,UNNAMED,04:00,70,1929
30,7,UNNAMED,16:00,65,1933
4,9,UNNAMED,05:00,110,1933
3,9,UNNAMED,02:00,160,1935
4,9,UNNAMED,22:00,85,1935
4,11,UNNAMED,18:00,85,1935
31,7,UNNAMED,14:00,90,1936
11,8,UNNAMED,23:00,65,1939
13,8,UNNAMED,06:00,65,1939
6,10,UNNAMED,10:00,85,1941
6,10,UNNAMED,11:00,85,1941
7,10,UNNAMED,09:00,80,1941
18,10,UNNAMED,21:00,105,1944
19,10,UNNAMED,07:00,90,1944
24,6,UNNAMED,08:00,70,1945
15,9,UNNAMED,19:30,115,1945
15,9,UNNAMED,20:00,115,1945
8,10,UNNAMED,02:00,75,1946
17,9,UNNAMED,16:30,115,1947
12,10,UNNAMED,02:00,80,1947
21,9,UNNAMED,17:00,105,1948
22,9,UNNAMED,05:00,115,1948
5,10,UNNAMED,18:00,90,1948
5,10,UNNAMED,20:00,90,1948
5,9,EASY,17:00,105,1950
6,9,EASY,04:00,90,1950
18,10,KING,05:00,115,1950
26,9,FLORENCE,15:00,80,1953
9,10,HAZEL,15:00,75,1953
9,10,HAZEL,16:00,75,1953
25,9,FLOSSY,00:00,80,1956
10,9,DONNA,07:00,125,1960
10,9,DONNA,16:00,105,1960
27,8,CLEO,08:00,95,1964
10,9,DORA,06:00,95,1964
14,10,ISBELL,21:00,90,1964
8,9,BETSY,11:00,100,1965
9,6,ALMA,21:00,75,1966
4,10,INEZ,18:00,85,1966
4,10,INEZ,23:00,85,1966
5,10,INEZ,02:00,85,1966
19,10,GLADYS,04:00,85,1968
21,11,KATE,22:30,85,1985
12,10,FLOYD,21:00,65,1987
24,8,ANDREW,08:40,145,1992
24,8,ANDREW,09:05,145,1992
2,8,ERIN,06:15,75,1995
3,8,ERIN,16:00,75,1995
4,10,OPAL,22:00,100,1995
3,9,EARL,06:00,70,1998
25,9,GEORGES,15:30,90,1998
15,10,IRENE,13:00,65,1999
15,10,IRENE,20:00,70,1999
13,8,CHARLEY,19:45,130,2004
13,8,CHARLEY,20:45,125,2004
5,9,FRANCES,04:30,90,2004
26,9,JEANNE,04:00,105,2004
10,7,DENNIS,19:30,105,2005
25,8,KATRINA,22:30,70,2005
24,10,WILMA,10:30,105,2005
2,9,HERMINE,05:30,70,2016
10,9,IRMA,13:00,115,2017
10,9,IRMA,19:30,100,2017
10,10,MICHAEL,17:30,140,2018
28,9,IAN,02:00,110,2022
28,9,IAN,19:05,130,2022
28,9,IAN,20:35,125,2022
10,11,NICOLE,07:45,65,2022
30,8,IDALIA,11:45,100,2023
5,8,DEBBY,11:00,70,2024
27,9,HELENE,03:10,120,2024
10,10,MILTON,00:30,100,2024
